transcript_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
ENSDART00000041936,0,0,0,0,0
ENSDART00000109983,0,1,2,0,0
ENSDART00000122626,0,346,339,0,472
ENSDART00000164488,0,0,0,0,0
ENSDART00000167050,0,0,0,0,0
ENSDART00000182153,0,0,0,0,0
ENSDART00000131714,0,0,0,1,0
ENSDART00000022019,0,0,0,0,0
ENSDART00000098059,0,0,0,0,0
ENSDART00000180074,0,0,0,0,0
ENSDART00000124534,0,0,0,0,0
ENSDART00000136680,0,1,0,0,0
MSTRG.71.16,0,0,5,0,3
MSTRG.71.18,0,2,0,0,0
MSTRG.71.1,656,145,97,653,125
ENSDART00000128187,61,0,18,50,32
MSTRG.71.7,7,0,12,55,14
ENSDART00000138396,8,0,0,0,0
ENSDART00000074923,2,0,1,0,0
MSTRG.71.15,34,7,13,5,30
ENSDART00000132126,13,3,6,10,7
ENSDART00000058877,46,40,37,26,35
ENSDART00000146095,0,0,0,0,0
ENSDART00000140507,0,0,0,0,0
ENSDART00000143008,0,0,0,0,0
ENSDART00000058876,2519,1465,1362,1297,1255
ENSDART00000116379,1,0,1,2,1
ENSDART00000143758,0,0,1,0,0
ENSDART00000141036,0,0,0,0,0
MSTRG.74.4,0,19,87,0,25
ENSDART00000157662,0,0,1,0,0
ENSDART00000144500,0,0,0,0,0
MSTRG.74.11,0,0,0,17,0
MSTRG.74.12,0,99,28,23,86
MSTRG.74.9,0,0,0,64,0
ENSDART00000119884,0,0,0,0,0
ENSDART00000183832,0,0,0,0,0
ENSDART00000108919,12,6,1,7,8
ENSDART00000142944,530,346,267,307,306
ENSDART00000143361,7,49,36,0,43
MSTRG.74.7,16,1,9,0,0
MSTRG.74.10,73,0,7,80,25
MSTRG.74.13,113,0,0,7,2
MSTRG.74.14,48,0,0,7,0
MSTRG.77.1,48,42,33,34,27
ENSDART00000152555,0,0,0,0,0
ENSDART00000103785,2,0,0,0,0
ENSDART00000190207,5,2,1,1,1
ENSDART00000055779,28,15,21,16,20
ENSDART00000103795,34,26,21,22,23
ENSDART00000152251,0,0,0,0,0
ENSDART00000126093,71,48,38,46,42
ENSDART00000157572,58,34,33,34,43
ENSDART00000165341,1,1,1,2,2
ENSDART00000163793,188,144,133,160,120
ENSDART00000166854,4,4,9,12,14
MSTRG.85.1,506,315,296,266,244
ENSDART00000194519,0,0,0,0,0
MSTRG.86.1,23,16,13,12,9
MSTRG.87.1,0,115,58,193,87
ENSDART00000052423,579,282,197,200,326
ENSDART00000189676,37,20,133,25,8
ENSDART00000188453,0,0,0,0,0
ENSDART00000103724,333,245,216,161,142
ENSDART00000122569,0,0,0,0,0
ENSDART00000040204,2589,1479,1387,3138,2881
MSTRG.90.2,0,0,0,85,11
ENSDART00000142248,0,0,0,2,0
ENSDART00000055047,131,83,77,81,156
ENSDART00000136282,0,0,0,0,0
ENSDART00000139261,0,0,0,0,0
ENSDART00000040368,0,0,0,9,0
ENSDART00000160791,0,0,195,0,134
