gene_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
MSTRG.235|wfs1a,157,80,57,65,57
MSTRG.235,40,25,16,17,26
MSTRG.237,178,128,82,127,132
MSTRG.237|crmp1,343,156,225,43,50
MSTRG.238,89,63,54,28,25
ENSDARG00000037576|DRD5,1,3,3,2,3
MSTRG.239|fip1l1b,130,95,90,364,135
MSTRG.239,312,134,178,207,396
MSTRG.240|chic2,215,129,120,246,197
MSTRG.241|BX530018.2,28,12,0,7,7
MSTRG.242|slc34a2a,476,297,257,70,56
MSTRG.243|rbpja,280,153,163,185,180
MSTRG.244|stim2a,61,28,27,40,40
ENSDARG00000109597|si:dkey-194g4.1,0,0,0,0,0
ENSDARG00000111274|CR847936.7,1,0,0,1,0
MSTRG.245|CR847936.6,34,23,25,33,32
ENSDARG00000117482|CR847936.10,1,1,1,1,0
ENSDARG00000103921|CR847936.2,1,0,1,0,0
ENSDARG00000114198|CR847936.8,1,1,1,1,0
ENSDARG00000106947|CR847936.3,1,0,1,0,0
ENSDARG00000039063|CR847936.1,0,2,0,6,3
ENSDARG00000113383|CU138548.5,0,1,0,0,0
ENSDARG00000116279|CU138548.10,0,0,0,0,0
ENSDARG00000109748|CR847936.5,1,1,0,1,0
ENSDARG00000109910|CU138548.1,1,0,0,1,0
ENSDARG00000111171|CU138548.2,1,0,0,0,0
ENSDARG00000111723|CU138548.4,1,0,1,1,0
ENSDARG00000115042|CU138548.7,1,1,1,1,1
ENSDARG00000114262|CU138548.6,1,0,0,1,1
MSTRG.246|pcdh7a,625,435,386,384,349
ENSDARG00000007534|itln1,0,0,0,0,0
MSTRG.247|hgsnat,296,198,193,139,163
MSTRG.247,16,0,0,0,0
MSTRG.247|pi4k2b,149,95,93,80,69
MSTRG.248|dlc1,291,196,186,229,203
ENSDARG00000117428|CR848833.1,9,0,0,0,0
MSTRG.249|SGCZ,21,15,0,0,9
MSTRG.250|tusc3,236,147,159,209,166
MSTRG.251|CU633160.1,0,0,0,0,0
ENSDARG00000007356|fgf20a,8,7,8,9,10
MSTRG.252|micu3a,63,53,42,20,26
MSTRG.253|CT573256.1,60,31,28,81,73
MSTRG.254|vps37a,84,64,57,44,47
MSTRG.255,29,11,0,27,27
MSTRG.255|mtmr7b,102,71,72,91,70
MSTRG.256,0,0,1,0,2
MSTRG.256|mtus1b,123,94,90,90,82
MSTRG.257|pcm1,384,248,242,208,233
MSTRG.257,13,7,4,0,4
MSTRG.258|asah1b,177,125,119,93,102
MSTRG.259|frg1,107,108,88,188,166
MSTRG.261|BX537280.1,0,0,0,0,0
MSTRG.260|fat1a,949,682,643,606,837
MSTRG.260,200,14,7,339,12
MSTRG.262|casp3a,322,199,194,232,206
MSTRG.263|acsl1a,166,100,88,102,102
MSTRG.264|helt,38,21,14,22,17
ENSDARG00000042937|si:dkey-256e7.5,12,0,0,0,0
ENSDARG00000092600|si:dkey-256e7.5,7,3,0,0,0
MSTRG.266|si:dkey-256e7.8,0,0,0,0,0
MSTRG.267|cfap97,37,23,18,13,10
MSTRG.266|ufsp2,129,76,72,72,59
MSTRG.265|slc25a4,4406,2652,2384,2829,2566
MSTRG.268|ankrd37,13,10,8,6,6
MSTRG.269|pdlim3a,11,4,0,7,4
MSTRG.270|sorbs2a,89,70,62,53,51
MSTRG.270,34,17,1,18,1
MSTRG.271,5,3,0,0,0
MSTRG.272,13,7,0,11,11
MSTRG.273|CR774194.1,5,4,0,0,3
MSTRG.280|CR391953.1,7,0,11,13,6
MSTRG.283,156,137,112,174,151
MSTRG.284|AL929210.2,10,4,11,7,9
MSTRG.294|AL929210.1,0,0,0,0,0
MSTRG.299|mtnr1aa,10,12,9,7,9
MSTRG.274,80,66,59,72,64
MSTRG.275|tlr3,7,0,0,4,0
MSTRG.276|cyp4v8,308,200,198,103,77
MSTRG.277,165,120,107,137,132
MSTRG.278,13,7,6,8,9
MSTRG.279,24,14,13,10,5
MSTRG.280,16,15,6,8,14
MSTRG.281,34,22,18,33,27
MSTRG.282,141,88,84,111,81
MSTRG.284,239,170,127,160,171
MSTRG.285,23,11,11,3,2
MSTRG.286,125,96,93,157,167
MSTRG.287,34,26,30,28,17
MSTRG.288,45,32,35,34,31
MSTRG.289,72,41,41,56,43
MSTRG.290,39,23,22,26,21
MSTRG.291,6,4,4,0,8
MSTRG.292,20,17,10,12,11
MSTRG.293,122,97,88,88,95
MSTRG.295,28,25,20,32,21
MSTRG.296,125,91,82,101,91
MSTRG.297|CR392335.1,3,4,3,3,3
MSTRG.298,42,27,27,28,28
MSTRG.300,85,66,63,83,95
MSTRG.301,128,79,60,67,59
MSTRG.302,48,43,33,39,44
MSTRG.303|klhl5,43,24,26,25,26
MSTRG.304,139,103,96,107,102
MSTRG.305,59,35,37,30,25
MSTRG.306,20,26,26,22,23
MSTRG.307,134,84,79,94,84
MSTRG.308,11,8,9,6,7
MSTRG.309,40,37,32,52,45
ENSDARG00000095111|si:dkey-192k22.2,0,0,0,0,0
MSTRG.313|fam114a1,89,47,47,47,36
MSTRG.313,0,0,0,1,0
MSTRG.321|tbc1d1,205,127,119,152,136
MSTRG.335|tmsb5,0,4,0,0,2
MSTRG.341|zgc:195282,9,6,7,0,5
MSTRG.310,33,36,29,28,24
MSTRG.311,56,36,33,32,28
MSTRG.312,117,90,77,76,80
MSTRG.314,98,75,58,78,68
MSTRG.315,1168,721,637,1177,1045
MSTRG.316,21,19,11,23,19
MSTRG.317|klf3,174,128,113,163,156
MSTRG.318,30,32,28,27,29
MSTRG.319,21,19,20,31,22
MSTRG.320,31,21,26,34,25
MSTRG.322,82,59,46,65,59
MSTRG.323,20,12,12,15,15
MSTRG.324,43,29,28,31,36
MSTRG.325,43,42,47,27,22
MSTRG.326,66,57,59,33,31
MSTRG.327,80,59,53,68,76
MSTRG.328,22,16,17,18,21
MSTRG.329,135,120,116,115,93
MSTRG.330,24,20,17,23,23
MSTRG.331,97,79,68,88,77
MSTRG.332|pgm2,268,173,165,255,258
MSTRG.333,39,36,27,45,37
MSTRG.334,84,54,53,57,61
MSTRG.336|slc25a51a,30,27,18,22,9
MSTRG.337,27,22,19,25,0
MSTRG.338,43,34,26,44,25
MSTRG.339,42,31,35,28,27
MSTRG.340,47,31,26,35,27
MSTRG.342,19,9,11,21,13
MSTRG.343,116,75,71,83,69
MSTRG.344,78,48,49,53,45
MSTRG.345|rnf38,478,312,299,442,395
MSTRG.346,99,89,75,109,103
MSTRG.347,198,103,129,102,125
MSTRG.347|limch1a,256,179,129,139,148
MSTRG.348,38,25,11,9,14
ENSDARG00000075330|phox2ba,0,0,0,0,0
MSTRG.349|exosc9,84,61,58,145,132
MSTRG.350|ptpn9b,300,194,165,240,200
MSTRG.351|ptprdb,31,409,350,436,379
MSTRG.351,550,16,17,21,4
MSTRG.352,5,7,3,5,4
MSTRG.353|si:dkeyp-118a3.2,44,11,0,28,25
MSTRG.353,3,0,0,1,1
MSTRG.354|tyrp1b,1399,952,861,1420,1331
MSTRG.355,444,298,326,625,500
MSTRG.355|rbm47,624,389,312,527,537
MSTRG.355|lap3,238,144,119,47,115
MSTRG.356|clockb,560,343,356,326,314
MSTRG.357|kitb,36,20,22,30,21
MSTRG.357,4,0,0,1,0
ENSDARG00000070321|clrn2,11,3,6,8,9
MSTRG.358|smc2,273,165,158,153,139
MSTRG.358|si:dkey-245p14.4,13,8,9,8,5
MSTRG.359|ecpas,214,136,139,330,313
MSTRG.359,8,9,8,13,17
MSTRG.360|fbxo10,35,27,28,34,31
MSTRG.361|polr1e,73,49,47,80,69
MSTRG.362|tmem192,48,33,29,36,32
MSTRG.363|BX323590.3,18,18,12,10,8
ENSDARG00000085360|BX323590.2,0,0,0,0,0
MSTRG.364|march1,21,39,42,19,56
ENSDARG00000094729|apela,5,0,0,4,0
MSTRG.364,65,0,0,38,0
MSTRG.365|tma16,38,24,22,45,48
MSTRG.366,0,0,0,0,16
MSTRG.367|BX323590.4,0,0,0,0,0
MSTRG.366|FNIP2,61,43,45,67,46
MSTRG.368|BX323590.1,64,48,37,47,33
MSTRG.369|grhprb,610,491,452,313,294
MSTRG.370|UBA6,103,74,60,134,125
MSTRG.371,20,13,33,19,21
MSTRG.371|apbb2b,276,161,149,278,229
MSTRG.372,30,16,12,31,18
MSTRG.373|mettl14,42,26,24,56,41
MSTRG.374|prss12,66,43,44,24,20
MSTRG.375|ndst3,92,66,63,68,61
MSTRG.376,0,0,0,17,0
MSTRG.376|ugt8,192,130,97,147,141
MSTRG.377|si:ch211-142c4.1,1,0,0,0,0
MSTRG.378|spock3,500,341,237,477,473
MSTRG.378,52,0,118,32,9
MSTRG.379|tll1,53,44,34,57,44
MSTRG.380|cpe,1285,847,835,910,761
MSTRG.381|msmo1,86,47,36,16,13
MSTRG.383|CT583646.2,0,0,0,0,0
MSTRG.382|klhl2,53,38,32,39,31
MSTRG.384|si:dkey-253i9.4,11,7,9,114,9
MSTRG.384,136,90,77,10,100
ENSDARG00000084908|CR762427.1,0,0,0,0,0
ENSDARG00000037411|npy1r,5,3,2,0,2
MSTRG.385|med28,22,16,13,19,13
MSTRG.386|tmem144a,19,14,14,11,9
MSTRG.387|gria2a,203,140,101,127,94
MSTRG.387,62,45,74,61,62
MSTRG.388|glrba,41,32,31,25,28
MSTRG.388,5,0,0,0,2
MSTRG.389|wdr19,61,41,40,37,37
MSTRG.389,2,0,0,4,0
MSTRG.390|ncapd3,117,69,60,55,53
MSTRG.391|primpol,28,19,8,22,14
MSTRG.392|adamtsl7,65,51,44,12,15
MSTRG.394|CR786570.1,0,0,0,0,0
MSTRG.393|zcchc7,53,36,37,52,32
MSTRG.395|pax5,0,12,0,24,19
MSTRG.396|melk,110,80,51,67,43
MSTRG.398|frmpd1a,0,0,0,0,0
MSTRG.397,198,127,106,91,83
MSTRG.398,68,36,43,36,33
MSTRG.399|frmpd1a,6,7,5,0,0
MSTRG.400|kdm4c,83,52,55,51,52
ENSDARG00000000606|dnah6,20,0,14,0,4
ENSDARG00000107258|CR388092.1,0,0,0,0,0
MSTRG.401|si:ch73-380n15.2,0,0,0,0,0
MSTRG.401,22,15,15,16,15
MSTRG.402|chrnb3a,55,30,29,39,40
ENSDARG00000092275|si:dkey-234d14.2,0,0,0,0,0
MSTRG.403|chrna6,49,29,21,31,36
ENSDARG00000115778|chrnb5a,18,11,12,6,6
MSTRG.404|uchl1,165,113,94,99,86
MSTRG.405|anxa5b,607,337,325,526,468
MSTRG.406|FP245458.1,0,0,1,0,6
MSTRG.407|fgfbp1b,23,16,16,15,13
MSTRG.408|fgfbp2b,148,82,73,74,73
ENSDARG00000002406|zmynd10,0,0,0,0,0
MSTRG.409,55,56,21,32,60
MSTRG.409|prom1b,83,41,58,107,50
MSTRG.410|tapt1b,82,63,50,71,65
MSTRG.411|ldb2b,99,47,57,57,51
MSTRG.411,8,37,7,0,10
